song,singer,genre,album,userRating
Haseeno Ka Deewana,"Payal Dev, Raftaar",Dance,Kaabil,9.1/10
Swag,"Brijesh Shandaliya, Pranaay",Dance,Munna Michael,9.1/10
Ki Kariye Nachna Aaonda Nahin,"Hardy Sandhu, Neha Kakkar, Raftaar",Dance,Tum Bin 2,9.0/10
Neele Neele Ambar par,Kishore Kumar,Dance,Kalaakaar,9.3/10
Choli Ke Peeche Kya Hai (Female),"Alka Yagnik, Vinod Rathod",Dance,Khal Nayak,8.7/10
Kitna Haseen Chehra,Kumar Sanu,Romantic,Dilwale,8.2/10
Girl I Need You,"Arijit Singh, Roach Killa",Romantic,Baaghi,9.3/10
Sanam Teri Kasam,Ankit Tiwari,Romantic,Sanam Teri Kasam,9.3/10
Kisi Din Banoongi Main,"Alka Yagnik, Udit Narayan",Dance,Raja,8.4/10
Badan Pe Sitaare,Sonu Nigam,DanceRomantic,Fanney Khan,9.3/10
Menu Kehn De,Himesh Reshammiya,Sad,Aap Se Mausiiquii,8.9/10
Bekhudi,"Aditi Singh Sharma, Darshan Raval",Romantic,Teraa Surroor,9.0/10
Kun Faya Kun,"A.R. Rahman, Javed Ali, Mohit Chauhan",Dance,Rockstar,9.4/10
Balam Pichkari,"Shalmali Kholgade, Vishal Dadlani",Dance,Yeh Jawaani Hai Deewani,9.1/10
Tinka Tinka Dil Mera,Rahat Fateh Ali Khan,Sad,Tubelight,9.4/10
Jaana Ve,Arijit Singh,Romantic,Aksar 2,9.3/10
The Disco Song,"Benny Dayal, Nazia Hassan, Sunidhi Chauhan",Dance,Student of the Year,9.1/10
Nagada Sang Dhol,"Osman Mir, Shreya Ghoshal",Dance,Goliyon Ki Rasleela Ram-leela,9.0/10
Tune Mari Entriyaan,"Bappi Lahiri, K.K., Neeti Mohan, Vishal Dadlani",Dance,Gunday,8.9/10
Ijazat,"Arijit Singh, Meet Bros",RomanticSensual,One Night Stand,8.5/10
Tujhse Naaraz Nahi Zindagi,Anup Ghoshal,Sad,Masoom,9.2/10
Pyar Kabhi Kam Nahi Karna,"Asha Bhosle, Bappi Lahiri",Romantic,Prem Pratigyaa,8.2/10
Chikni Chameli,Shreya Ghoshal,Dance,Agneepath,9.2/10
Zaroorat,Mustafa Zahid,Sad,Ek Villain,9.4/10
Bang Bang,"Benny Dayal, Neeti Mohan",Dance,Bang bang,9.3/10
Bulleya,Papon,Romantic,Sultan,9.4/10
Barso Re,Shreya Ghoshal,Dance,Guru,9.3/10
Manwa Laage,"Arijit Singh, Shreya Ghoshal",Romantic,Happy New Year,9.3/10
The Google Song,"Amaal Mallik, Armaan Malik, Neeti Mohan, Sonu Nigam, Tulsi Kumar",Dance,Mubarakan,9.1/10
Ek Mulaqat,Jubin Nautiyal,RomanticSad,Sonali Cable,9.3/10
Aa Toh Sahii,"Meet Bros, Neha Kakkar",Dance,Judwaa 2,9.2/10
Nazm Nazm,Arko,Romantic,Bareilly Ki Barfi,9.6/10
Teri Ore,"Rahat Fateh Ali Khan, Shreya Ghoshal",Romantic,Singh Is Kinng,9.4/10
Toota Jo Kabhi Tara,"Atif Aslam, Sumedha Karmahe",Sad,A Flying Jatt,9.3/10
Say “Shava Shava”,"Aadesh, Alka Yagnik, Amitabh Bachchan, Sudesh Bhosle, Sunidhi Chauhan",Dance,Kabhi Khushi Kabhie Gham,9.1/10
Sunn Raha Hai (Male),Ankit Tiwari,Sad,Aashqui 2,9.3/10
Tu Banja Gali Benaras Ki,Asit Tripathy,Romantic,Shaadi Mein Zaroor Aana,9.6/10
Khuda Bhi,Mohit Chauhan,Romantic,Ek Paheli Leela,9.1/10
Chaar Botal Vodka,Yo Yo Honey Singh,Dance,Ragini MMS 2,8.8/10
Chaar Botal Vodka,Yo Yo Honey Singh,Dance,Ragini MMS 2,8.8/10
Selfie Le Le Re,"Badshah, Nakash Aziz, Pritam, Vishal Dadlani",Dance,Bajrangi Bhaijaan,8.8/10
India Wale,"K.K., Neeti Mohan, Shankar Mahadevan, Vishal Dadlani",Dance,Happy New Year,9.1/10
Kudi Gujarat Di,"Akasa Singh, Jasbir Jassi, Sonia Sharma",Dance,Sweetiee Weds NRI,9.3/10
Lag Ja Gale,Rahat Fateh Ali Khan,Romantic,Bhoomi,9.5/10
O O Jaane Jaana,Kamaal khan,Dance,Pyaar Kiya To Darna Kya,9.3/10
Fevicol Se,"Keerthi Sagathia, Mamta Sharma, Shadab Faridi, Uvie, Wajid",Dance,Dabangg 2,8.8/10
Tishnagi,"Dev Negi, Sunidhi Chauhan",Sensual,Tishnagi,8.8/10
Saiyaara,"Mohit Chauhan, Tarannum Malik",Sad,Ek Tha Tiger,9.2/10
Jab Mehndi Lag Lag Jaave,"Shreya Ghoshal, Sonu Nigam",Dance,Singh Saab The Great,8.7/10
Baarish (Atif Aslam),Atif Aslam,Romantic,Half Girlfriend,9.3/10
Akkad Bakkad,"Badshah, Neha Kakkar",Dance,Sanam Re,9.1/10
Tum Ho Toh Lagta Hai,Shaan,Romantic,Dil Juunglee,9.7/10
Kya Khoob Lagti Ho,,Dance,Dharmatma,8.6/10
Kya Khoob Lagti Ho,"Kanchan, Mukesh",Romantic,Dharmatma,8.6/10
Saturday,"Akriti Kakar, Badshah, Indeep Bakshi",Dance,Humpty Sharma Ki Dulhania,9.1/10
Dard Karaara,"Kumar Sanu, Sadhana Sargam",Romantic,Dum Laga Ke Haisha,8.9/10
Akhiyaan Milaoon Kabhi,"Alka Yagnik, Udit Narayan",Dance,Raja,9.0/10
Mere Humsafar,"Mithoon, Tulsi Kumar",Sad,All is Well,9.2/10
Hangover,"Anjjan, Meet Bros, Salman Khan, Shreya Ghoshal",Romantic,Kick,9.1/10
Mind Blowing,Mika Singh,Dance,Veerey Ki Wedding,9.1/10
Jaaneman Aah,"Aaman Trikha, Antara Mitra",Dance,Dishoom,9.1/10
Dangal,Daler Mehndi,Motivational,Dangal,9.1/10
Jag Ghoomeya (Female),Neha Bhasin,Romantic,Sultan,9.1/10
Madamiyan,"Mamta Sharma, Mika Singh",Dance,Tevar,9.1/10
Hum Nahi Sudhrenge,Armaan Malik,Dance,Golmaal Again,8.8/10
Aye Watan Tere Liye,"Kavita Krishnamurthy, Mohammad Aziz",Patriotic,Karma,8.8/10
Tu Hai,"A.R. Rahman, Sanah Moidutty",Romantic,Mohenjo Daro,9.4/10
Likhne Wale Ne Likh Dale,"Lata Mangeshkar, Suresh Wadkar",Dance,Arpan,7.7/10
Duniya Bananewale,Mukesh,Sad,Teesri Kasam,8.4/10
Bum Bum Bole,Shaan,Dance,Taare Zameen Par,7.4/10
Hans Mat Pagli,"Shreya Ghoshal, Sonu Nigam",Romantic,Toilet Ek Prem Katha,9.3/10
Butterfly,"Aaman Trikha, Dev Negi, Jyoti Nooran, Sultana Nooran, Sunidhi Chauhan",Dance,Jab Harry Met Sejal,9.1/10
Nayak Nahi Khalnayak Hoon Main,"Kavita Krishnamurthy, Vinod Rathod",Dance,Khal Nayak,8.7/10
Saree Ke Fall Sa,"Antara Mitra, Nakash Aziz",Dance,R... Rajkumar,8.9/10
Galla Goriyan – Aaja Soniye,"Kanika Kapoor, Mika Singh",Dance,Baa Baa Black Sheep,9.3/10
Mubarakan Title Song,"Badshah, Juggy D, Sukriti Kakar, Yash Narvekar",Dance,Mubarakan,9.4/10
Nachdi Phira,Meghna Mishra,Sad,Secret Superstar,9.6/10
Maula Mere Maula,Roop Kumar Rathod,Romantic,Anwar,9.4/10
Raah Mein Unse Mulaqat,"Alka Yagnik, Kumar Sanu",Romantic,Vijaypath,8.7/10
Resham Ka Rumaal,"Sonia Sharma, Toshi Sabri",Dance,Great Grand Masti,9.0/10
Twist Kamariya,"Altamash Faridi, Harshdeep Kaur, Tanishk Baagchi, Yasser Desai",Dance,Bareilly Ki Bafi,9.1/10
Ram Chahe Leela,Bhoomi Trivedi,Dance,Ramleela,9.1/10
Ram Chahe Leela,Bhoomi Trivedi,Dance,Goliyon Ki Rasleela Ram-leela,9.1/10
Kukkad Kamaal Da,"Marianne, Nisha Mascarenhas, Shahid Mallya",Dance,Student of the Year,9.4/10
Aa Jao Na,"Arijit Singh, Shashwat Sachdev",Sad,Veere Di Wedding,9.4/10
Banjaara,"Mohammed Irfan, Shashaa Tirupati",Romantic,Ek Villain,9.5/10
Radha Kaise Na Jale,"Asha Bhosle, Udit Narayan",DanceRomantic,Lagaan,9.2/10
Bewajah,Himesh Reshammiya,Sad,Sanam Teri Kasam,9.3/10
London Thumakda,"Labh Janjua, Neha Kakkar, Sonu Kakkar",Dance,Queen,8.9/10
Aashiq Banaya Aapne,"Himesh Reshammiya, Shreya Ghoshal",Sensual,Aashiq Banaya Aapne,8.4/10
Kheench Meri Photo,"Akasa Singh, Darshan Raval, Neeti Mohan",Dance,Sanam Teri Kasam,9.0/10
Aayega Maza Ab Barsaat Ka,"Alka Yagnik, Babul Supriyo",Romantic,Andaaz,8.5/10
Birthday Bash,"Alfaaz, Yo Yo Honey Singh",Dance,Dilliwaali Zaalim Girlfriend,9.2/10
Jumme Ki Raat,"Mika Singh, Palak Muchhal",Dance,Kick,8.7/10
Jab Koi Baat Bigad Jaye,"Kumar Sanu, Sadhna Sargam",Romantic,Jurm,9.0/10
Tera Hone Laga Hoon,"Alisha Chinai, Atif Aslam",Romantic,Ajab Prem Ki Ghazab Kahani,9.4/10
Sheila Ki Jawani,"Sunidhi Chauhan, Vishal Dadlani",Dance,Tees Maar Khan,9.2/10
Uff,"Benny Dayal, Harshdeep Kaur",Dance,Bang bang,9.5/10
Sunny Sunny,Yo Yo Honey Singh,Dance,Yaariyan,8.7/10
Ghagra,"Rehka Bharadwaj, Vishal Dadlani",Dance,Yeh Jawaani Hai Deewani,9.2/10
Paani Wala Dance,"Arko, Ikka, Shraddha Pandit",Dance,Kuch Kuch Locha Hai,8.4/10
Dola Re Dola,"K.K., Kavita Krishnamurthy, Shreya Ghoshal",Dance,Devdas,8.9/10
Jab Tum Chaho,"Darshan Raval, Mohammed Irfan, Palak Muchhal",Dance,Prem Ratan Dhan Payo,8.2/10
Tere Bina Zindagi Se Koi Shikwa To Nahin,"Kishore Kumar, Lata Mangeshkar",Sad,Aandhi,8.9/10
Mujhe Ek Pal Chain,"Alka Yagnik, Hariharan, Jaswinder Narula",Dance,Judaai,8.6/10
Kuch Iss Tarah,Arnab Dutta,Sad,1921,9.6/10
Gazab Ka Hai Din,"Jubin Nautiyal, Prakriti Kakkar",Romantic,Dil Juunglee,9.7/10
Tu Jaane Na,Atif Aslam,Romantic,Ajab Prem Ki Ghazab Kahani,9.4/10
Tumne Agar Pyar Se – Female,Alka Yagnik,Dance,Raja,8.3/10
Stay A Little Longer,Anushka Shahaney,Sad,Half Girlfriend,9.5/10
Badtameez Dil,Benny Dayal,Dance,Yeh Jawaani Hai Deewani,9.3/10
Chand Sifarish,"Kailash Kher, Shaan",Romantic,Fanaa,9.2/10
Is Pyar Se Meri Taraf Na Dekho,"Alka Yagnik, Kumar Sanu",Romantic,Chamatkar,8.8/10
Aaj Unse Milna Hai,Shaan,DanceRomantic,Prem Ratan Dhan Payo,7.9/10
Tere Bin Nahi Laage,Uzair Jaswal,RomanticSad,Ek Paheli Leela,9.3/10
Yaar Na Miley,"Jasmine Sandlas, Yo Yo Honey Singh",Dance,Kick,8.9/10
Main Rang Sharbaton Ka,Atif Aslam,Romantic,Phata Poster Nikhla Hero,9.4/10
Raazi Title Track,Arijit Singh,Motivational,Raazi,9.4/10
Hum Tumhe Chahte Hai Aise,"Anand Kumar C, Kanchan, Manhar Udhas",Romantic,Qurbani,8.2/10
Ittefaq Se Raat Baaki,"Jubin Nautiyal, Nikhita Gandhi",Dance,Ittefaq,9.2/10
Oye Oye,"Aditi Singh Sharma, Armaan Malik",Dance,Azhar,9.0/10
Sooraj Dooba Hai,"Adit Singh Sharma, Arijit Singh",Dance,Roy,9.3/10
Will You Marry me,"Divya Kumar, Jonita Gandhi",Dance,Bhoomi,8.9/10
Tera Hoke Rahoon,Arijit Singh,Romantic,Behen Hogi Teri,9.6/10
Aa Re Pritam Pyaare,"Mamta Sharma, Sarosh Sami",Dance,Rowdy Rathore,9.2/10
Mehboob Mere Mehboob Mere,"Lata Mangeshkar, Mukesh",Romantic,Pathar Ke Sanam,7.9/10
Dil Mein Chhupa Loonga,"Armaan Malik, Meet Bros, Tulsi Kumar",RomanticSensual,Wajah Tum Ho,8.6/10
Dance Basanti,"Anushka Manchanda, Vishal Dadlani",Dance,Ungli,9.2/10
Teri Meri Prem Kahani,"Rahat Fateh Ali Khan, Shreya Ghoshal",Sad,Bodyguard,9.2/10
Lungi Dance,Yo Yo Honey Singh,Dance,Chennai Express,8.5/10
Jeena Jeena,Atif Aslam,RomanticSad,Badlapur,9.3/10
Thare Vaaste,Divya Kumar,Patriotic,Parmanu The Story of Pokhran,9.6/10
Maine Socha Ke Chura Loon,"Arijit Singh, Shreya Ghoshal",Romantic,Phir Se,9.6/10
Mar Gaye,"Manj Musik, Nindy Kaur",Dance,Beiimaan Love,9.4/10
Cutiepie,"Nakash Aziz, Pardeep Singh Sran",Dance,Ae Dil Hai Mushkil,9.1/10
Lipstick Laga Ke,"Payal Dev, Shaan",Dance,Great Grand Masti,9.2/10
Laila,"Anand Raaj Anand, Mika Singh, Sunidhi Chauhan",Dance,Shootout at Wadala,8.8/10
Tu Mera Hero,"Mika, Shefali Alvaris",Dance,Desi Boyz,9.1/10
A Flying Jatt,"Mansheel Gujral, Raftaar, Tanishkaa",Dance,A Flying Jatt,8.2/10
World Dance Medley,"K.K., Neeti Mohan, Shankar Mahadevan, Sukhwinder Singh, Vishal Dadlani",DanceRomantic,Happy New Year,9.4/10
Qayamat,"Alka Yagnik, Sukhwinder Singh",Dance,Deewane,8.6/10
Matargashti,Mohit Chauhan,Dance,Tamasha,9.2/10
Pehla Nasha Once Again,"Jubin Nautiyal, Palak Muchhal",Romantic,Yoodlee film – Kuchh Bheege Alfaaz,9.5/10
Raj Karega Khalsa,"Daler Mehndi, Navraj Hans",Motivational,A Flying Jatt,8.4/10
Punjabi Wedding Song,"Benny Dayal, Sunidhi Chauhan",Dance,Hasee Toh Phasee,9.3/10
Rabba Ishq Na Hove,"Alka Yagnik, Kailash Kher, Sapna Mukherjee, Sonu Nigam",Sad,Andaaz,7.9/10
Tumhi Ho Bandhu,"Kavita Seth, Neeraj Shridhar",Dance,Cocktail,9.2/10
Saans,"Mohit Chauhan, Shreya Ghoshal",Romantic,Jab Tak Hai Jaan,9.1/10
Besharmi Ki Height,"Benny Dayal, Shalmali Kholgade",Dance,Main Tera Hero,9.2/10
Mere Rashke Qamar,Tulsi Kumar,DanceSad,Baadshaho,9.1/10
Tu Hai Ki Nahin,Ankit Tiwari,Sad,Roy,9.4/10
Aaj Ki Party,Mika Singh,Dance,Bajrangi Bhaijaan,8.8/10
Saaton Janam Main Tere,"Alka Yagnik, Kumar Sanu",Romantic,Dilwale,8.3/10
Allah Kare Dil Na Lage,"Alka Yagnik, Sonu Nigam",Romantic,Andaaz,8.4/10
Ye Jo Teri Paylon Ki,"Abhijeet, Sadhana Sargam",Dance,Masoom,9.0/10
Tum,Atif Aslam,Romantic,Laila Majnu,9.7/10
Radha Nachegi,"Danish Sabri, Ritu Pathak, Shabab Sabri",Dance,Tevar,8.7/10
Itni Si Baat Hai,"Antara Mitra, Arijit Singh",Romantic,Azhar,9.5/10
Laagi Na Choote,"Arijit Singh, Shreya Ghoshal",Romantic,A Gentleman,9.3/10
Sab Tera,"Armaan Malik, Shraddha Kapoor",Romantic,Baaghi,9.3/10
Mashallah,"Shreya Ghoshal, Wajid",Dance,Ek Tha Tiger,9.2/10
Taaron Ka Chamakta,"Bali Brahambhatt, Udit Narayan",Dance,Hum Tumhare Hain Sanam,8.5/10
Sau Tarah Ke,"Amit Mishra, Jonita Gandhi",Dance,Dishoom,9.3/10
Gulabi Aankhen,Mohammed Rafi,DanceRomantic,The Train,9.3/10
Gulaabo,"Anusha Mani, Vishal Dadlani",Dance,Shaandaar,9.2/10
Ya Ali,Zubeen Garg,Sad,Gangster,9.2/10
Lahu Munh Lag Gaya,Shail Hada,Dance,Goliyon Ki Rasleela Ram-leela,9.2/10
Yeh Kasoor Mera Hai,Sonu Kakkar,RomanticSadSensual,Jism 2,7.8/10
Shanivaar Raati,"Arijit Singh, Shalmali Kholgade",Dance,Main Tera Hero,8.8/10
Tere Dil Mein,Armaan Malik,Sad,Commando 2,9.4/10
Jab Haal E Dil Tumse Kehne Ko,Alka Yagnik,Dance,Salaami,8.7/10
Tattad Tattad,Aditya Narayan,Dance,Goliyon Ki Rasleela Ram-leela,9.0/10
Mohe Rang Do Laal,"Pandit Birju Maharaj, Shreya Ghoshal",Romantic,Bajirao Mastani,9.4/10
Ek Haseena Thi,"Himesh Reshammiya, Shreya Ghoshal",Dance,Karzzzz,8.7/10
Kahin Pyaar Na Ho Jaye,"Alka Yagnik, Kumar Sanu",Romantic,Kahin Pyaar Na Ho Jaye,8.4/10
Ek Do Teen,Alka Yagnik,Dance,Tezaab,8.7/10
Maahi Ve,"Sadhana Sargam, Shankar Mahadevan, Sonu Nigam, Udit Narayan",Dance,Kal Ho Naa Ho,9.5/10
Tere Mere,Armaan Malik,Sad,Chef,9.7/10
Allah Maaf Kare,"Shilpa Rao, Sonu Nigam",DanceRomantic,Desi Boyz,9.3/10
Le Le Maza Le,"Hrishikesh Kamerkar, Nikita Nigam, Soumya Raoh, Suzanne D'Mello",Dance,Wanted,9.0/10
Jaa Sajna Tujhko Bhula,"Alka Yagnik, Udit Narayan",Sad,Raja,8.0/10
Nazar Se Nazar Mile,Rahat Fateh Ali Khan,Romantic, HeightsMiley Naa Miley Hum,9.2/10
Gandi Baat,"Kalpana Patowary, Mika Singh",Dance,R... Rajkumar,8.6/10
Sarphiri,"Babul Supriyo, Shreya Ghoshal",Romantic,Laila Majnu,9.6/10
Mere Sapno Ki Rani,Kishore Kumar,DanceRomantic,Aradhana,9.1/10
Dum Dum,"Benny Dayal, Himani Kapoor",Dance,Band Baaja Baaraat,9.3/10
Sari Duniya Ka Boj,Shabbir Kumar,Dance,Coolie,7.9/10
Pink Lips,"Anjjan, Khushhboo Grewal, Meet Bros",Dance,Hate Story 2,8.7/10
Pee Loon,Mohit Chauhan,Romance,Once Upon A Time In Mumbai,9.3/10
Khali Khali Dil,"Armaan Malik, Payal Dev",Romantic,Tera Intezaar,9.0/10
Hare Krishna Hare Ram,"Armaan Malik, Ritika",Dance,Commando 2,8.8/10
Single Rehne De,"Divya Kumar, Shalmali Kholgade",Dance,Simran,9.0/10
Jhak Maar Ke,"Harshdeep Kaur, Neeraj Shridhar",Dance,Desi Boyz,9.3/10
Naa Jaane,"Anushka Manchanda, Neeraj Shridhar",Dance,I Me Aur Main,9.3/10
Party On My Mind,"K.K., Shefali Alvares, Yo Yo Honey Singh",Dance,Race 2,9.3/10
Kajra Re,"Alisha Chinai, Javed Ali, Shankar Mahadevan",Dance,Bunty Aur Babli,9.2/10
Likhe Jo Khat Tujhe,Mohammed Rafi,Dance,Kanyadaan,9.2/10
Jhanjariya,Abhijeet,Dance,Krishna,9.0/10
O Saathi Re Tere Bina,"Anjaan, Kishore Kumar",Sad,Muqaddar Ka Sikandar,8.4/10
Tare Hain Barati,"Jaspinder Narula, Kumar Sanu",Dance,Virasat,8.9/10
Tu Zaroorat Nahi Tu Zaroori Hai,"Gandharv Sachdev, Shreya Ghoshal",Sad,Fuddu,9.0/10
Iski Uski,"Akriti Kakar, Shahid Mallya",Dance,2 States,9.1/10
Chote Chote Bhaiyon Ke Bade Bhaiya,"Kavita Krishnamurthy, Kumar Sanu, Udit Narayan",Dance,Hum Saath-Saath Hain,8.1/10
Saiyaan Superstar,Tulsi Kumar,Dance,Ek Paheli Leela,8.9/10
Every Night & Day,"Himesh Reshammiya, Iulia Vantur",Dance,Aap Se Mausiiquii,9.4/10
Photocopy,"Himesh Reshammiya, Keerthi Sagathia, Palak Muchhal",Dance,Jai Ho,8.7/10
Dil Tu Hi Bataa,"Alisha Chinai, Zubeen Garg",Romantic,Krrish 3,8.5/10
Beech Beech Mein,"Arijit Singh, Shalmali Kholgade, Shefali Alvares",Dance,Jab Harry Met Sejal,9.2/10
Aakhon Aakhon,Yo Yo Honey Singh,Dance,Bhaag Johnny,9.4/10
Kabhi Alvida Naa Kehna Title Track,"Alka Yagnik, Sonu Nigam",RomanticSad,Kabhi Alvida Naa Kehna,9.4/10
All Izz Well,"Shaan, Sonu Nigam, Swanand Kirkire",Dance,3 Idiots,8.1/10
Chandralekha,"Jonita Gandhi, Vishal Dadlani",Dance,A Gentleman,9.2/10
Mitwa,"Caralisa Monteiro, Shafqat Amanat Ali, Shankar Ehsaan Loy, Shankar Mahadevan",Dance,Kabhi Alvida Naa Kehna,9.5/10
Baat Ban Jaaye,"Priya Saraiya, Siddharth Basrur",DanceRomantic,A Gentleman,8.8/10
Oye Hichki,Harshdeep Kaur,Dance,Hichki,8.7/10
Ang Laga De,"Aditi Paul, Shail Hada",RomanticSensual,Goliyon Ki Rasleela Ram-leela,9.0/10
Lagdi Hai Thaai,"Guru Randhawa, Jonita Gandhi",Dance,Simran,9.2/10
Ishq Chadha Hai,Darshan Raval,Romantic,Single,9.7/10
Bandeya,Arijit Singh,Sad,Dil Juunglee,9.6/10
Love Mera Hit Hit,"Neeraj Shridhar, Tulsi Kumar",Dance,Billu,9.3/10
Ishq Da Sutta,"Jasmine Sandlas, Meet Bros",Dance,One Night Stand,9.0/10
Haareya,Arijit Singh,Romantic,Meri Pyaari Bindu,9.6/10
Patthar Ke Sanam,Mohammed Rafi,Sad,Patthar Ke Sanam,8.8/10
The Medley,"Lata Mangeshkar, Pamela Chopra, Sonu Nigam, Udit Narayan",Dance,Mujhse Dosti Karoge!,9.0/10
Raghupati Raghav,"Bob, Monali Thakur, Neeraj Shridhar",Dance,Krrish 3,9.1/10
The Padman Song,Mika Singh,Dance,Padman,9.3/10
Go Pagal,"Nindy Kaur, Raftaar",Dance,Jolly LLB 2,8.6/10
Sadi Gali,Lehmber Hussainpuri,Dance,Tanu Weds Manu,9.0/10
Daiya Daiya Daiya Re,Alka Yagnik,DanceRomantic,Dil Ka Rishta,8.9/10
Challa,Rabbi Shergill,Dance,Jab Tak Hai Jaan,9.4/10
Thoda Aur,"Arijit Singh, Palak Muchhal",Romantic,Ranchi Diaries,9.5/10
Sexy Baby Girl,"Lil Golu, Swati Sharma",Dance,Tera Intezaar,8.9/10
Ek Dilruba Hai,Udit Narayan,DanceRomantic,Bewafaa,8.9/10
Tu Pyar Hai Kisi Aur Ka,"Anuradha Paudwal, Kumar Sanu",Sad,Dil Hai Ke Manta Nahin,9.1/10
Aata Majhi Satakli,"Mamta Sharma, Nitu Choudhry, Yo Yo Honey Singh",Dance,Singham Returns,7.9/10
Ishq Bulaava,Sanam Puri,Romantic,Hasee Toh Phasee,9.8/10
Thug Le,"Sweta Pandit, Vishal Dadlani",Dance,Ladies Vs Ricky Bahl,9.4/10
Hum Mar Jayenge,"Arijit Singh, Tulsi Kumar",Sad,Aashiqui 2,9.2/10
Desi Girl,"Shankar Mahadevan, Sunidhi Chauhan, Vishal Dadlani",Dance,Dostana,9.4/10
Madamji Go Easy,"Benny Dayal, David Klyton",Dance,Hichki,8.9/10
Tu Dharti Pe Chaahe Jahan Bhi,"Alka Yagnik, Kumar Sanu",Romantic,Jeet,8.6/10
Sandese Aate Hain,"Roop Kumar Rathod, Sonu Nigam",Patriotic,Border,9.1/10
Tenu Le Ke,"Mahalakshmi Iyer, Sonu Nigam",Dance,Salaam-E-Ishq,9.4/10
Pehli Nazar Mein,Atif Aslam,Romantic,Race,9.5/10
I Wanna Tera Ishq,"Shivangi Bhayana, Shivranjani Singh",Dance,Great Grand Masti,9.2/10
Nimbooda Nimbooda,"Ismail Darbar, Kavita Krishnamurthy",Dance,Hum Dil De Chuke Sanam,8.7/10
Tera Rang Balle Balle,"Jaspinder Narula, Sonu Nigam",Dance,Soldier,8.5/10
Dil Laga Na,"Jolly Mukherjee, Mahalaxmi Iyer, Soham Chakrabarthy, Sukhbir, Suzanne D'Mello",Dance,Dhoom 2,9.2/10
Naina Banjare,Arijit Singh,Romantic,Pataakha,9.7/10
Asalaam-E-Ishqum,"Bappi Lahiri, Neha Bhasin",Dance,Gunday,9.3/10
Nadaan Parindey,A.R. Rahman,Sad,Rockstar,9.5/10
You Are My Soniya,"Alka Yagnik, Sonu Nigam",Dance,Kabhi Khushi Kabhie Gham,9.4/10
Aaja Nachle,Sunidhi Chauhan,Dance,Aaja Nachle,9.1/10
Piya O Re Piya,"Atif Aslam, Shreya Ghoshal",Romantic,Tere Naal Love Ho Gaya,9.6/10
Halka Halka,"Ram Sampath, Shreya Ghoshal, Sonu Nigam",DanceRomantic,Raees,9.5/10
Peh Gaya Khalara,"Akanksha Bhandari, Akasa Singh, Divya Kumar, Jasleen Royal",Dance,Fukrey Returns,9.4/10
Malang,"Shilpa Rao, Siddharth Mahadevan",Dance,Dhoom 3,9.1/10
Kuch Kuch Hota Hai,"Alka Yagnik, Udit Narayan",Romantic,Kuch Kuch Hota Hai,9.2/10
Tay Hai,Ankit Tiwari,Sad,Rustom,9.6/10
Usire Usire,"Shaan, Shreya Ghoshal",DanceRomantic,Hebbuli,8.7/10
Go Go Govinda (Reprise),"Aaman Trikha, Shreya Ghoshal",Dance,OMG Oh My God!,8.7/10
Go Go Govinda,"Aman Trikha, Shreya Ghoshal",Dance,OMG Oh My God!,8.7/10
Tu Mujhe Kabool,"Kavita Krishnamurthy, Mohammad Aziz",Dance,Khuda Gawah,8.1/10
Hori Khele Raghuveera,"Alka Yagnik, Amitabh Bachchan, Sukhwinder Singh, Udit Narayan",Dance,Baghban,8.2/10
Aap Ka Aana Dil Dhadkana,"Alka Yagnik, Kumar Sanu",Dance,Kurukshetra,8.9/10
Love Tujhe Love Main Karta,"Alka Yagnik, Kumar Sanu",Romantic,Barsaat,8.9/10
Just Go to Hell Dil,"Amit Trivedi, Sunidhi Chauhan",Sad,Dear Zindagi,9.6/10
Party All Night,Yo Yo Honey Singh,Dance,Boss,9.0/10
Talli Tonight,"Deep Money, Meet Bros, Mellow D, Neha Kakkar",Dance,Veerey Ki Wedding,9.3/10
Darasal,Atif Aslam,Romantic,Raabta,9.6/10
Mauja Hi Mauja,Mika Singh,Dance,Jab We Met,9.3/10
Dhokha Dhadi,Arijit Singh,Romantic,R... Rajkumar,9.3/10
Dhoom Machale Dhoom,Aditi Singh Sharma,Dance,Dhoom 3,9.3/10
Ikk Kudi,Diljit Dosanjh,Romantic,Udta Punjab,9.5/10
Jhalak Dikhla Ja,Himesh Reshammiya,Dance,Aksar,8.9/10
Baby Doll,"Anjjan, Kanika Kapoor, Meet Bros",Dance,Ragini MMS 2,8.8/10
Laila O Laila,"Amit Kumar, Kanchan",Dance,Qurbani,8.8/10
Dilli Wali Girlfriend,"Arijit Singh, Sunidhi Chauhan",Dance,Yeh Jawaani Hai Deewani,9.2/10
Mar Jaayen,Atif Aslam,Sad,Loveshhuda,9.7/10
I Love My India,"Hariharan, Kavita Krishnamurthy",Dance,Pardes,8.6/10
O Sahiba O Sahiba,"Kavita Krishnamurthy, Sonu Nigam",Sad,Dil Hai Tumhaara,8.7/10
O Saaki Saaki,"Sukhwinder Singh, Sunidhi Chauhan",Dance,Musafir,9.2/10
Let’s Talk About Love,"Manj Musik, Neha Kakkar, Raftaar",Dance,Baaghi,9.2/10
Satakli,Sukhwinder Singh,Dance,Happy New Year,9.2/10
Kashmir Main Tu Kanyakumari,"Arijit Singh, Neeti Mohan, Sunidhi Chauhan",Dance,Chennai Express,9.3/10
Raabta,"Arijit Singh, Hamsika, Joi",Romantic,Agent Vinod,9.5/10
